lgmID,Core,Longitude,Latitude,T_degC,T_anomaly_degC,turnover,n,uncertainty2sd
LGM_0210,A015558,51.73333333,8.983333333,25.73,0.5,0.38,1,1.53
LGM_0219,E45-027,105.5833333,-43.23333333,10.53,-0.04,0,1,1.51
LGM_0220,E45-029,106.5166667,-44.88333333,6.58,-2.98,0.42,1,1.48
LGM_0221,E45-078,114.348,-45.037,9.64,-0,0,1,1.49
LGM_0222,E45-102,113.5833333,-33.61666667,19.19,0.04,0.26,1,1.5
LGM_0223,E48-003,100.0116667,-41.02,7.55,-4.3,0.24,1,1.49
LGM_0224,E48-011,97.58333333,-29.7,18.5,-0.19,0.43,1,1.45
LGM_0225,E48-022,85.41,-39.895,9.4,-3.52,0.47,1,1.52
LGM_0226,E48-023,83.72333333,-39.515,9.92,-3.32,0.22,1,1.47
LGM_0227,E48-027,79.89833333,-38.54166667,10.18,-3.83,0.43,1,1.47
LGM_0228,E48-028,79.91833333,-38.54833333,10.57,-3.44,0.41,1,1.49
LGM_0229,E48-035,86.485,-30.35333333,18.71,0.14,0.31,1,1.46
LGM_0230,E49-018,90.16666667,-46.05,5.04,-3.72,0.34,1,1.51
LGM_0231,E49-021,94.88333333,-42.18333333,8.04,-3,0.43,1,1.48
LGM_0232,E49-023,95.08333333,-47.11666667,3.39,-3.54,0.63,1,1.41
LGM_0233,E55-006,141.0633,-38.8533,11.44,-3.25,0.48,1,1.53
LGM_0235,FR10/95-GC05,121.0263333,-14.00916667,23.84,-3.27,0.3,1,1.51
LGM_0236,FR10/95-GC11,114.9988333,-17.64283333,23.27,-2.61,0.3,1,1.52
LGM_0237,FR10/95-GC14,112.6621667,-20.04516667,21.81,-3.01,0.41,1,1.47
LGM_0238,FR10/95-GC17,113.5018333,-22.129,21.62,-2.68,0.52,1,1.51
LGM_0239,FR10/95-GC20,111.8291667,-24.7445,21.16,-1.59,0.39,1,1.46
LGM_0240,FR10/95-GC29,114.5895,-30.99183333,20.24,-0.31,0.49,1,1.44
LGM_0241,FR2/96-GC10,108.5101667,-24.46416667,21.51,-0.65,0.46,1,1.46
LGM_0242,FR2/96-GC17,112.7378333,-12.24666667,23.36,-3.68,0.23,1,1.52
LGM_0243,FR2/96-GC27,116.2668333,-18.56183333,25.15,-0.58,0.29,1,1.49
LGM_0245,MD76-131,72.34,15.32,26.64,-0.23,0.21,1,1.51
LGM_0246,MD77-169,95.03,10.13,27.35,-0.01,0.19,1,1.49
LGM_0247,MD77-171,94.09,11.46,27.39,-0.1,0.11,1,1.45
LGM_0248,MD77-179,91.01,18.22,27.04,-0.47,0.52,1,1.47
LGM_0249,MD77-180,89.51,18.28,27.08,-0.18,0.26,1,1.53
LGM_0250,MD77-191,76.43,7.3,25.98,-0.83,0.27,1,1.49
LGM_0251,MD77-194,75.14,10.28,27.35,0.98,0.19,1,1.52
LGM_0252,MD77-203,59.34,20.42,23.65,-0.23,0.37,1,1.5
LGM_0253,MD88-770,96.46666667,-46.01666667,1.81,-5.89,0.79,1,1.47
LGM_0255,ODP122-760A,115.5413333,-16.922,22.99,-3.15,0.33,1,1.49
LGM_0256,ODP122-762B,112.254,-19.88733333,21.51,-3.24,0.23,1,1.5
LGM_0262,RC08-039,42.35,-42.88333333,2.79,-6.89,0.67,1,1.52
LGM_0264,RC09-148,113.7,-29.68,20.56,-0.35,0.42,1,1.45
LGM_0265,RC09-150 (P),114.5516667,-31.28333333,19.69,-0.74,0.56,1,1.48
LGM_0266,RC09-150 (W),114.5516667,-31.28333333,19.54,-0.89,0.61,1,1.48
LGM_0267,RC09-161,59.595,19.56833333,24.45,0.38,0.25,1,1.53
LGM_0268,RC09-162,60.42166667,19.07666667,24.59,0.03,0.3,1,1.47
LGM_0270,RC11-120,79.86666667,-43.51666667,4.7,-5.88,0.53,1,1.41
LGM_0271,RC11-121,82.25,-39.71666667,9.62,-3.6,0.34,1,1.49
LGM_0272,RC11-126,94.41666667,-30.06666667,18.18,-0.29,0.42,1,1.47
LGM_0273,RC11-134,110.55,-33.06666667,16.49,-1.78,0.34,1,1.45
LGM_0274,RC11-145,110.0166667,-25.48333333,20.64,-1.35,0.43,1,1.42
LGM_0275,RC11-147,112.75,-19.05833333,21.69,-3.48,0.44,1,1.48
LGM_0279,RC12-328,60.6,-3.95,25.76,-0.14,0.37,1,1.52
LGM_0280,RC12-339,90.03333333,9.133333333,25.72,-2.02,0.28,1,1.48
LGM_0281,RC12-340,90.017,12.7,27.19,-0.65,0.41,1,1.44
LGM_0282,RC12-341,89.583,13.05,27.25,-0.56,0.45,1,1.48
LGM_0283,RC12-343,90.567,15.167,26.31,-1.43,0.52,1,1.52
LGM_0284,RC12-344,96.067,12.767,25.73,-1.48,0.3,1,1.47
LGM_0286,RC14-007,44.75,-35.51666667,14.39,-3.88,0.4,1,1.45
LGM_0287,RC14-009,47.88333333,-39.01666667,11.05,-5.1,0.62,1,1.55
LGM_0288,RC14-029,88.315,-10.92333333,25.72,-0.91,0.35,1,1.46
LGM_0289,RC14-035,89.95,-0.833333333,27.61,-0.93,0.22,1,1.49
LGM_0290,RC14-037,90.16666667,1.466666667,27.66,-0.82,0.19,1,1.5
LGM_0291,RC14-039,90.52,-5.857,27.5,0.08,0.59,1,1.48
LGM_0292,RC17-069,32.6,-31.5,20.18,-1.7,0.39,1,1.55
LGM_0293,RC17-073,36.01666667,-32.11666667,19.88,-1.16,0.28,1,1.46
LGM_0294,RC17-098,65.61666667,-13.21666667,25.76,-0,0,1,1.46
LGM_0295,RC17-108,57.72,-10.508,25.65,0.48,0.64,1,1.49
LGM_0296,RC17-113,66.097,15.033,26.77,-0.09,0.16,1,1.49
LGM_0297,RS067-GC10,140.1,-38.86166667,10.29,-4.43,0.46,1,1.51
LGM_0298,RS096-GC21,108.5006667,-23.77216667,20.75,-1.71,0.28,1,1.45
LGM_0299,RS147-GC14,145.24,-46.45,7.19,-3.71,0.29,1,1.44
LGM_0302,SHI9006,117.59584,-4.33223,24.59,-3.25,0.38,1,1.51
LGM_0303,SHI9016,128.238,-8.455833333,26.3,-0.65,0.23,1,1.48
LGM_0304,SHI9022,122.03799,-11.35444,24.99,-1.96,0.25,1,1.47
LGM_0305,SHI9034,111.00721,-9.09764,24.9,-1.42,0.4,1,1.53
LGM_0306,SO36-07,144.75,-42.25,9.35,-3.97,0.29,1,1.49
LGM_0307,SO36-21,145.5,-43.8,8.69,-3.83,0.32,1,1.55
LGM_0311,V14-077,32.85833333,-29.64166667,20.78,-2.08,0.34,1,1.54
LGM_0312,V14-081,43.78333333,-28.425,21.17,-1.33,0.32,1,1.52
LGM_0313,V14-101,58.56666667,8.65,25.64,-1.13,0.25,1,1.48
LGM_0314,V14-102,57.18333333,10.25,25.82,-0.35,0.27,1,1.49
LGM_0315,V16-089,85.78333333,-33.01666667,13.49,-3.31,0.31,1,1.53
LGM_0316,V18-191,46.567,-32.433,17.9,-1.53,0.32,1,1.48
LGM_0317,V18-207,87.11666667,-25.63333333,22.06,0.63,0.18,1,1.52
LGM_0318,V19-178,73.25,8.116666667,27.35,-0.35,0.19,1,1.47
LGM_0319,V19-185,59.33333333,6.7,25.51,-1.71,0.27,1,1.42
LGM_0320,V19-188,60.66666667,6.866666667,26.72,-0.74,0.24,1,1.45
LGM_0321,V19-201,40.43333333,-5.333333333,25.47,-0.77,0.28,1,1.5
LGM_0322,V19-202,41.18333333,-6.983333333,24.46,-1.63,0.29,1,1.49
LGM_0323,V19-204,43.81666667,-10.23333333,25.46,-0.49,0.34,1,1.51
LGM_0324,V20-170,69.23333333,-21.8,23.47,-0.32,0.17,1,1.48
LGM_0325,V20-175,68,-22.3,23.4,-0.3,0.22,1,1.48
LGM_0332,V28-342 (P),120.5,-14.1,26.61,-0.49,0.4,1,1.52
LGM_0333,V28-342 (W),120.5,-14.1,25.9,-1.2,0.24,1,1.52
LGM_0334,V28-345,117.95,-17.67,24.4,-1.72,0.41,1,1.51
LGM_0335,V29-015,88.733,11.95,27.3,-0.42,0.52,1,1.45
LGM_0336,V29-029,77.58333333,5.116666667,25.63,-1.84,0.18,1,1.45
LGM_0337,V29-030,76.25,3.083333333,26.46,-1.56,0.32,1,1.43
LGM_0338,V29-045,69.817,-6,26.24,0.73,0.27,1,1.5
LGM_0339,V29-048,63.43333333,-6.266666667,26.63,1.8,0.21,1,1.51
LGM_0340,V29-064,74.867,-27.283,22.28,1.45,0.26,1,1.51
LGM_0341,V33-065,112.5833333,-22.73333333,21.18,-2.45,0.46,1,1.51
LGM_0342,V34-087,57.348,13.273,23.8,-1.53,0.36,1,1.54
LGM_0343,V34-088,59.755,16.54,24.42,-0.53,0.32,1,1.5
LGM_0344,V34-091,64.033,20.937,26.03,1.08,0.44,1,1.45
LGM_0345,V34-092,65.118,21.148,25.21,0.14,0.48,1,1.51
LGM_0346,V34-101,67.423,17.488,25.48,-1.14,0.42,1,1.56
LGM_0347,V34-109,66.083,19.733,25.41,-0.36,0.54,1,1.49
LGM_0348,V34-111,63.883,17.617,25.37,-0.59,0.53,1,1.47
LGM_0520,RC14-39,90.517,5.85,27.33,-0.7,0.26,1,1.51
LGM_0586,MD03-2607,137.4065,-36.9607,12.8,-2.42,0.38,5,0.66
LGM_0588,MD96-2048,34.0167,-26.1667,21.71,-1.65,0.33,3,0.87
LGM_0602,117-723A,57.609,18.0518,25.56,1.98,0.4,1,1.55
LGM_0620,CD154 17-17K,29.47,-33.32,20.34,-0.98,0.32,4,0.72
LGM_0630,GeoB10029-4,100.128,-1.4945,26.5,-1.41,0.41,2,1.03
LGM_0631,GeoB10038-4,103.246,-5.9375,26.54,-1.02,0.37,2,1.09
LGM_0632,GeoB10042-1,104.6425,-7.1135,25.97,-1.57,0.37,2,1.03
LGM_0633,GeoB10043-3,105.05867,-7.30917,26.08,-1.42,0.3,2,1.05
LGM_0634,GeoB10053-7,112.8725,-8.6765,25.15,-0.82,0.41,2,1.06
LGM_0635,GeoB10069-3,120.917,-9.59483,24.94,-1.3,0.31,3,0.88
LGM_0636,GeoB12615-4,39.840833,-7.138333,25.57,-0.5,0.33,2,1.08
LGM_0639,GeoB20616-1,33.334,-25.589,21.75,-1.59,0.35,2,1.04
LGM_0643,SO189-119KL,96.3145,3.5178,26.2,-2.22,0.36,2,1.1
LGM_0644,SO189-144KL,98.066,1.155,26.14,-1.32,0.45,2,1.06
LGM_0645,SO189-39KL,99.9085,-0.79,26.35,-1.18,0.38,2,1.05
LGM_0173,80KB11,24.3,36.5,11.9,-5.38,0.62,1,1.28
LGM_0174,BC15,5.93,41.95,8.13,-6.26,0.64,3,0.73
LGM_0175,BS79-22,14.23,38.231,10.46,-4.8,0.61,21,0.29
LGM_0176,BS79-33,14.018,38.157,10.59,-4.66,0.67,13,0.36
LGM_0177,BS79-37,13.269,38.215,9.19,-6.03,0.61,3,0.76
LGM_0178,BS79-38,13.346,38.247,11.57,-3.66,0.76,24,0.27
LGM_0179,DED8707,13.34,39.41,9.42,-5.81,0.45,2,0.95
LGM_0180,KET8003,14.3,38.49,10.92,-4.33,0.57,8,0.48
LGM_0181,KET8019,13.21,40.33,10.92,-4.33,0.63,6,0.53
LGM_0182,KET8022,11.43,40.35,9.79,-5.37,0.62,3,0.72
LGM_0183,KET8039,11.41,36.32,12.75,-3.75,0.6,15,0.33
LGM_0184,KET8216,17.59,41.31,9.92,-4.47,0.62,4,0.66
LGM_0185,KL96,19.19,32.77,16.68,-1.08,0.31,2,0.95
LGM_0186,KS310,-1.57,35.55,10.88,-4.57,0.79,7,0.51
LGM_0187,LC01,6.887,40.26,9.82,-5.79,0.68,4,0.67
LGM_0188,LC04,6.11,38.65,10.73,-5.11,0.67,3,0.77
LGM_0189,LC07,10.07,38.14,9.52,-5.85,0.6,3,0.76
LGM_0190,LC21,26.58,35.66,12.35,-5.24,0.64,8,0.47
LGM_0191,MD 95-2043,-2.621,36.143,10.39,-5.23,0.75,7,0.5
LGM_0192,MD84-632,34.23,32.47,17.4,-1.63,0.26,19,0.31
LGM_0193,MD84627,33.45,32.14,16.73,-2.32,0.32,3,0.76
LGM_0194,MD84629,34.21,32.04,15.96,-3.14,0.38,9,0.44
LGM_0195,MD84641,32.38,33.02,16.86,-1.73,0.24,6,0.54
LGM_0196,MD90-917,17.613,41.298,10.42,-3.97,0.65,17,0.32
LGM_0197,MD90901,1.591,39.947,10.74,-4.14,0.66,16,0.32
LGM_0198,MD992344,4.836,41.997,7.25,-7.05,0.73,4,0.65
LGM_0199,MD992346,4.151,42.044,8.3,-5.93,0.6,23,0.27
LGM_0200,ODP 969,24.884,33.839,13.62,-4.03,0.51,5,0.6
LGM_0201,ODP 973,18.948,35.78,13.41,-3.46,0.79,2,0.92
LGM_0202,ODP 975,4.5,38.89,8.88,-6.94,0.77,5,0.58
LGM_0203,ODP 977,-1.95528,36.0317,10.12,-5.25,0.88,5,0.61
LGM_0204,RC9-178,27.917,33.733,13.3,-4.57,0.64,3,0.77
LGM_0205,RC9191,18.033,38.2,12.95,-2.99,0.54,5,0.56
LGM_0206,SU8107,-3.48,35.57,9.95,-5.9,0.84,7,0.5
LGM_0207,T87/2/20G,23.75,34.97,13.67,-3.65,0.52,3,0.76
LGM_0208,V10-49,26.833,36.083,13.66,-3.84,0.52,1,1.32
LGM_0209,V10-51,27.3,35.917,14.54,-2.91,0.48,3,0.75
LGM_0616,MD04-2797CQ,11.67,36.95,10,-6.09,0.69,12,0.38
LGM_0001,OD-041-04,11.2383,84.0292,-0.12,0.99,0.02,2,1.13
LGM_0002,PS2446-4,40.9083,82.3967,-0.96,0.46,0.02,3,0.96
LGM_0003,PS1533-3,15.1908,82.0317,1.28,1.3,0.03,2,1.17
LGM_0004,PS2876-1,-9.4355,81.759,-0.13,1.59,0.02,4,0.81
LGM_0005,PS2138-1,30.5933,81.535,-0.1,1.21,0.02,4,0.84
LGM_0006,PS2129-1,17.4717,81.3667,-0.14,-0.38,0.02,2,1.15
LGM_0007,PS2837-5,2.3817,81.2333,-0.52,-0.29,0.1,3,0.9
LGM_0008,PS2887-1,-4.6077,79.6,-0.55,0.24,0.02,3,0.93
LGM_0009,PS1230-1,-4.7812,78.8553,-1.4,-0.71,0.01,2,1.15
LGM_0010,GIK17725-1,4.58,77.46,0.45,-1.02,0.04,1,1.66
LGM_0011,GIK17724-2,8.3333,76,-0.63,-3.43,0.05,5,0.74
LGM_0012,PS1922-1,-8.771,75.0003,-1.16,-0.18,0.01,4,0.8
LGM_0013,PS1919-2,-11.8267,74.9967,-0.63,0.29,0.03,2,1.15
LGM_0014,PS2613-6,-0.48,74.1767,-0.1,-0.13,0.03,2,1.13
LGM_0015,GIK23294-4,-10.5923,72.3797,-0.04,0.18,0.03,1,1.58
LGM_0016,GIK23262-2,14.4273,72.2252,0.6,-5.03,0.48,1,1.53
LGM_0017,V27-60,8.583,72.183,1.03,-3.71,0.49,1,1.59
LGM_0018,MD95-2012,11.4343,72.151,0.65,-4.71,0.5,34,0.27
LGM_0019,GIK17730-4,7.3883,72.1117,0.38,-4.09,0.5,8,0.56
LGM_0020,PS1927-2,-17.1483,71.4967,-0.48,-0.2,0,3,0.91
LGM_0021,GIK23351-1,-18.2053,70.3622,-0.13,0.02,0.03,1,1.6
LGM_0022,GIK23354-6,-10.6288,70.3315,-1.1,-1.84,0.02,1,1.63
LGM_0023,PS1730-2,-17.6943,70.1165,-0.19,-0.21,0.01,1,1.58
LGM_0024,PS1951-1,-20.825,68.8417,-1.22,-1.61,0.01,3,0.93
LGM_0025,GIK23056-2,3.8383,68.5017,1.59,-5.09,0.45,2,1.19
LGM_0026,GIK23065-2,0.8317,68.495,0.69,-5.42,0.47,3,0.95
LGM_0027,V28-56,-6.117,68.033,-0.38,-3.81,0.15,3,0.96
LGM_0028,PS2644-5,-21.765,67.8667,-0.29,-1.95,0.06,2,1.13
LGM_0029,GIK23071-3,2.9083,67.085,-0.37,-7.47,0.38,22,0.36
LGM_0030,MD95-2011,7.6393,66.9697,0.59,-6.81,0.66,38,0.28
LGM_0031,GIK23074-1,4.905,66.6667,-0.07,-7.52,0.37,21,0.36
LGM_0032,V27-86,1.117,66.6,0.34,-6.46,0.49,2,1.14
LGM_0033,GIK23519-5,-29.5958,64.7973,0.28,-5.21,0.85,3,0.92
LGM_0034,V28-14,-29.57,64.783,0.23,-5.28,0.8,2,1.14
LGM_0035,HU87-033-008,-53.8845,62.6485,-0.81,-3.26,0.01,5,0.74
LGM_0036,GIK16397-2,-11.1787,61.8725,1.39,-7,0.52,7,0.61
LGM_0037,GIK16396-1,-11.2423,61.8722,0.56,-7.84,0.52,24,0.33
LGM_0038,SU90-I06,-39.445,59.5217,0.12,-5.15,0.15,2,1.12
LGM_0039,BOFS16K,-23.2427,59.4693,3.68,-5.48,0.79,2,1.12
LGM_0040,SO82_5-2,-30.9048,59.1862,1.51,-6.02,0.66,20,0.37
LGM_0041,BOFS14K,-19.4349,58.6288,3.95,-5.76,0.8,6,0.68
LGM_0042,HU90-013-013,-48.3733,58.2098,0.22,-3.99,0.03,1,1.61
LGM_0043,BOFS17K,-16.5014,58.001,4.44,-5.58,0.7,16,0.4
LGM_0044,GIK17051-3,-31.99,56.1633,2.42,-5.45,0.91,1,1.66
LGM_0045,NA87-22,-14.5833,55.5,2.04,-8.83,0.89,7,0.61
LGM_0046,GIK17050-1,-27.8883,55.47,2.78,-6.47,0.82,3,0.95
LGM_0047,GIK17049-6,-26.725,55.26,0.33,-9.3,0.95,2,1.16
LGM_0048,GIK23419-8,-19.755,54.9617,4.2,-6.67,0.79,1,1.72
LGM_0049,V23-81,-16.83,54.25,2.27,-9.01,0.88,4,0.83
LGM_0050,SU90-39,-21.94,52.5667,1.25,-10.17,0.95,3,0.95
LGM_0051,BOFS8K,-22.0623,52.5033,1,-10.43,0.94,18,0.38
LGM_0052,GIK17045-3,-16.665,52.425,4.39,-7.42,0.83,1,1.72
LGM_0053,BOFS5K,-21.8635,50.6876,1.28,-10.82,0.92,10,0.5
LGM_0054,HU91-045-090,-45.26,50.3898,0.56,-6.46,0.83,4,0.8
LGM_0055,KN708-1,-23.75,50,0.77,-11.51,0.94,1,1.64
LGM_0056,GIK17055-1,-27.0567,48.215,2.69,-10.38,0.93,2,1.16
LGM_0057,GIK15612-2,-26.5433,44.36,5.98,-8.77,0.69,4,0.82
LGM_0058,V29-179,-24.53,44.017,8.49,-6.25,0.39,2,1.12
LGM_0059,CH82-24,-30.66,43.465,6.92,-8.46,0.76,1,1.55
LGM_0060,MD95-2040,-9.8612,40.5818,12.17,-2.7,0.28,42,0.25
LGM_0061,MD95-2039,-10.3485,40.5785,11.63,-3.33,0.32,5,0.73
LGM_0062,SU90-03,-32.0533,40.505,12.02,-4.63,0.41,10,0.5
LGM_0063,KF16,-31.1283,37.999,12.43,-5.08,0.54,1,1.62
LGM_0064,SU81-18,-10.183,37.767,11.65,-4.82,0.36,15,0.43
LGM_0065,KF13,-31.8422,37.5783,13.5,-4.25,0.49,2,1.21
LGM_0066,KF09,-32.2868,37.1113,15.21,-2.8,0.45,3,0.93
LGM_0067,SU92-21,-23.7367,36.5117,15.1,-2.68,0.5,2,1.19
LGM_0068,GIK15669-1,-7.815,34.8917,16.04,-1.36,0.44,5,0.73
LGM_0069,V17-165,-41.9,32.75,18.95,-1.4,0.39,4,0.8
LGM_0070,GIK15627-3,-12.0867,29.1667,15.47,-2.6,0.32,5,0.73
LGM_0071,GIK15637-1,-18.9867,27.005,16.98,-3.67,0.17,5,0.71
LGM_0072,GIK12309-2,-15.11,26.8383,14.16,-5.37,0.43,3,0.92
LGM_0073,GIK12392-1,-16.845,25.1717,15.46,-4.15,0.57,4,0.81
LGM_0074,GIK12310-4,-18.7167,23.4983,16.11,-3.83,0.48,2,1.17
LGM_0075,GIK12379-1,-17.745,23.135,15.77,-3.19,0.36,5,0.73
LGM_0076,V23-100,-22.68,21.3,21.55,-0.19,0.73,1,1.58
LGM_0077,GIK16017-2,-17.8033,21.245,17.39,-0.45,0.15,7,0.64
LGM_0078,GIK12328-5,-18.5733,21.145,15.95,-2.67,0.25,4,0.83
LGM_0079,GIK12329-6,-19.93,19.3667,17.97,-1.55,0.25,1,1.63
